original (cond)	sample (pos)	generated (neg)	BLEU	METEOR
what is a color ?	what is color ?	what is color ?	0.9999999994583337	1.0
what is the best book for core java for beginners ?	which is the best book for java ?	which is the best book and question learning for learning java ? ?	0.5063696835012589	0.45343401380368387
what are the best hollywood movies ever ?	what are some of the best hollywood movies to watch ?	what are some of the best hollywood movies ?	0.9354143465830547	0.45315602691474133
what is your resolution for 2017 ?	what can be my new year resolution for 2017 ?	what is your new 2017 ? year 2017 resolution for your ?	0.522232967821596	0.44709805834257427
how do i quit my job ?	what is the best way to quit a job ?	how do i quit job ?	0.757116271161685	0.43848766653861393
how can i get better grades in school ?	how do you get better grades ?	how can to get better grades at	0.5976143044893356	0.4313715397758114
how can i get internship at deutsche bank ?	how can i do an internship at deutsche bank ?	how can i start internship courses a profession in a chat ? good better internship in deutsche experience to best at deutsche bank ?	0.2691909510176227	0.42705777166946357
what are the safety precautions on handling shotguns proposed by the nra in illinois ?	what are the safety precautions on handling shotguns proposed by the nra in kentucky ?	what are the safety precautions nra in georgia handling shotguns proposed handling shotguns proposed by proposed	0.6055300707803913	0.4071816185608139
how can i get rid of acne and its effect ?	how can i get rid from my acnes ?	how do you ? public finger delhi get rid of pimples of my acnes ?	0.3651483716448982	0.3977595404717628
what is a good place to visit in chennai with your lover ?	what 's the best place to visit in chennai ?	what 's friends ? chennai ? chennai ? do the best best place visit for in chennai ?	0.3834824944017541	0.39622368278349573
how can i increase my typing speed fast ?	how can i increase typing speed ?	how can i speed ? wrist problem good a typing need by increase reading	0.33968311021818254	0.3961813876967618
how cold can the gobi desert get , and how do its average temperatures compare to the ones in the dasht-e margo ?	how cold can the gobi desert get , and how do its average temperatures compare to the ones in the great sandy desert ?	how cold gobi its average temperatures compare to , and how do the gobi atacama desert get desert ?	0.5990696706664616	0.3925393700338893
why is saltwater taffy candy imported in germany ?	why is salt water taffy candy unknown in japan ?	why it ? that saltwater taffy candy imported in korea ? ?	0.46056618643171326	0.3911406538736633
what are some of your favorite documentaries ?	what are your favourite documentaries ? why ?	what is the your all your favorite documentaries of	0.37267799620596836	0.390069343381553
what 's your new year resolution for 2017 ?	what is your new year resolution for 2017 or goal for 2017 ?	what s resolution for new year new year 2017 your envelope ?	0.3203183500930099	0.38802322077347556
which is the best laptop to buy under inr 45k ?	which is the best laptop under 45k rupees ?	which is the best laptop the best laptop under 45k and pakistan is the 2016 ?	0.4472135954710755	0.387111752664311
humor : what are some of the greatest examples of presence of mind ?	what are some of the examples of presence of mind ?	what do some great mind are some examples of of presence of mind time ? the of mind ever ?	0.38044295510681836	0.38698248258269236
what are the safety precautions on handling shotguns proposed by the nra in california ?	what are the safety precautions on handling shotguns proposed by the nra in wisconsin ?	what are the of by the safety nra sleeping of the nra in the nra precautions vermont handling shotguns proposed by of	0.483493778392728	0.3849095988436323
what should i do to get a job ?	how do i get job ?	how does i get a job	0.7071067809390603	0.37892582863743474
why do you live a life ?	why do people live ? what is reason for you to live your life ?	why do you people life ?	0.6556819244445669	0.3783607444087724
what are the best c++ books ?	what are the top c++ books ?	which are some best c++ write ? my books for the c++ ?	0.1961161351224697	0.37644946099811827
what are the safety precautions on handling shotguns proposed by the nra in south carolina ?	what are the safety precautions on handling shotguns proposed by the nra in arizona ?	what are to to every handling safety nra in wisconsin ? handling nra precautions nra precautions on handling shotguns proposed by by the nra in handling shotguns ?	0.39339789622041155	0.3747185342382764
how do i concentrate better in my studies ?	how do i concentrate in study ?	how do i concentrate habit studies better more block need myself start well my	0.33968311021818254	0.3739750423991089
does smoking weed cause cancer ?	how can smoking marijuana give you lung cancer ?	is smoking we prevent cancer in ? cause weed	8.333333331423613e-09	0.3734982815735261
what 's your new year resolution for 2017 ?	what are the resolutions you are going to take for the upcoming new year 2017 ?	what 's your new years 2017	0.4288819423302449	0.37046317086783964
what is the best time for study ?	is there a best time to study ?	which is the best time that time healthy and book ( faster ? be the when for to study	0.3058876451442025	0.36769073640206495
what is the best scheduling app ?	what is the best scheduling software ?	what is the best framework ? app	0.6546536705131399	0.367438201555635
what are some of the best life -changing books ?	what are the best life-changing books ?	what 's your the best books ? are the best life ? life and	0.392232270247274	0.3635046536666256
how do i get rid of acne on my face ? i workout daily and wash my face twice a day .	`` how do i get rid of acne and acne… ?	how can i get rid of acne and in acnes ?	0.6030226890431458	0.3619258918331787
which book is best for study of gre ?	what is the best book to study for the gre ?	what is the ? book ever book for gre the gre to to study in ?	0.40824829043749705	0.36031192462430617
how do i get internship at iits ( ug student ) ?	how do i get an internship in iit ?	how do i get internship my apply manager can an internship	0.47685129693678713	0.3592559842185179
what is the quickbooks support phone number ?	what is the quickbooks support phone number in los angeles ?	which is some quickbooks rs and proavisor tech support phone number for for prominent to ?	0.22360679773553777	0.35772595517358696
what can we do to improve the indian education system ?	how can indian education system be reformed ?	how do you improve the serve ? indian education system in application system in with style them	0.29704426287498314	0.35637352581604564
which is the best android tablet ?	what is the best android tablet to buy ? why ?	what are the is the best or of android exist ?	0.3302891294763544	0.35578451054552634
what are some of the most underrated movies ?	what are some of the most heavily underrated films of all time ?	who is best underrated in the most underrated in are some of the world movies ? ? the most good best underrated 5 countries	0.29488391229724037	0.35570136922444373
what are the mysteries of the bermuda triangle ?	what 's the mystery behind bermuda triangle ?	what is the bermuda triangle the bermuda triangle ?	0.4999999998854169	0.3553184500461984
what are the best books to prepare for clat 2017 ?	which is best book for preparing clat 2017 ?	what are the best of sharing 2017 for clat the book ?	0.522232967821596	0.3548426861654516
what is make money online ?	how could i make money online ?	what are is money online ?	0.5773502689875534	0.3525167147165688
what are the similarities between donald trump and hitler ?	what are some similarities between donald trump and adolf hitler ?	what is donald trump life difference between the similarities between usa ? be ?	0.33968311021818254	0.35103165860245317
how do i improve my life ?	what is the best way to improve your life ?	how i improve your life ? life ?	0.6546536706203004	0.350607506131125
which is the best laptop under 20k today ? fast & smooth .	what is the best laptop in 20k ?	which is the best laptop	0.5488116358607817	0.34974219280798013
can we time travel ?	how close are we to time travel ?	is time to travel account ? in from	8.451542545096823e-09	0.3487106112412916
which is the best seo tools ?	which is the best seo tool ?	which is the best book for company ? for the best for good job ? best seo and is there well ? tools	0.23523598443802232	0.3443382232495855
what 's the best way to become a good writer ?	how can i become good writer ?	what can i become to become good in on a to live in an writer ?	0.433012701864254	0.34426642307915356
how can i add pictures on quora ?	how do i insert a picture in quora ?	how can i add the best picture ?	0.5669467093670424	0.34338837512372244
what is the best way to loose weight quickly ?	what is the easiest way to lose weight faster ?	what is the best ways ? all ies ? site weight more quickly and	0.33968311021818254	0.3382541147335128
what 's the easiest way to learn chinese ?	what is the best way to learn chinese ?	what is the best programming i other and learn the best ? learn follow that chinese to learn have i gain abroad by impressive way to resources between learn ?	0.22742941306595937	0.33822118257789174
how do you manage anxiety ?	how can i better manage my anxiety ?	how do i change and anxiety ?	0.4879500363987507	0.3375757328779686
what are the safety precautions on handling shotguns proposed by the nra in illinois ?	what are the safety precautions on handling shotguns proposed by the nra in florida ?	what are the safety precautions on handling ( of the safety nra in idaho ?	0.6055300707373193	0.33756445312810085
what is the best way to lose weight and not gain it back ?	which are the best ways to lose weight ?	what there the ways to lose weight ? how not and to lose weight from	0.4140393355768242	0.336230311098721
what are your life 's worst regrets ?	what is your worst regret in life ?	what are some worst in moment 's s life ? life biggest regrets ? in ? tuesday that your life ? of the worst mental regrets and had lived moment first and	0.19050019049423664	0.33607147167167634
how should you deal with social anxiety ?	what are some effective ways to stop social anxiety ?	how does social how do i deal with and 3g social anxiety ?	0.3396831102161606	0.3352067803665443
which is the best sap hana online training ?	what are the best sap hana online training programs ?	which is the sap hana to sing ? sap prepared sap best sap /	0.392232270247274	0.333603502721695
how can i get more upvotes and views in quora ?	how can i get more views and upvotes on quora ?	how can i agree my the ways contact and internal of upvotes quora has i ways iq less largest numerous views on quora ?	0.2553769592167526	0.33324992840925555
is it possible to travel time with real life ?	could time travel be possible ?	is in it have past a got possible is we the travel it possible to real and forward money to possible is life ?	0.20851441404819784	0.33156583677967194
how do i stop my chihuahua from biting my shoes ?	how do i stop my husky/border collie puppy from chewing my socks ?	how do i best shoes and period biting my from biting differ ?	0.45291081358670826	0.3301956218646251
how do you earn money from internet ?	how can i earn money easily online ?	how can you make money ?	0.29252268250319813	0.32920157762076285
what is computer science about ?	what is computer science ?	what would methods ? science sciences science for computer ?	6.666666665962964e-09	0.3281451362472317
how do i get a passport ?	what is the easiest way to get a passport ?	what do i get passport ? what are i have the is the get the free the	0.34299717026421095	0.3276874304254546
how do i post a question in quora ?	how do you post question in quora ? i posted many but rejected .	how do i quora and answers ? post ? ?	0.36514837163156744	0.32659496310984265
how can you increase your height ?	how should i increase my height ?	what i increase your height me girl ? i i convert five or have ?	0.26726124189397066	0.32566338321101623
what 's the best thing to do in life ?	what 's the best thing in life ?	which 's the the biggest life life ?	0.37796447291136165	0.3253256521166982
how do i recover my gmail password ?	i do not remember my password to my gmail account , how can i recover my account ?	how do i recover 've recover my	0.5982025825945981	0.3253042491132695
how do i stop a verbal bully ?	how can verbal bullying be stopped ?	how do i stop ?	0.5805141882860998	0.3247875416606277
what is the best video game ?	what are the best video games to play ?	what are are the best best video free ?	0.5773502690573166	0.32191216768290015
how cold can the gobi desert get , and how do its average temperatures compare to the ones in the great victoria desert ?	how cold can the gobi desert get , and how do its average temperatures compare to the ones in the kalahari desert ?	how cold , in the gobi desert temperatures there , and and is the the to get to the ones , desert need gobi depression compare its compare to get to the temperatures compare to ? in the ?	0.33062326125820124	0.3211408416738907
how do i enhance my english ?	what should i do to improve my spoken english ?	how do i ? level ? different like or my spoken computer english my	0.33968311021818254	0.3199127132252423
what is the mystery of crop circles ?	what is the scientific explanation of crop circles ?	what makes crop circles ? ?	0.37001517758895625	0.3192993899175025
how do i stop being insecure about myself ?	how should i stop being insecure ?	how do i stop of hillary insecure ? like	0.5773502690573166	0.3184464413482169
are asian girls attracted to black guys ?	do asian girls like black guys ?	are really '' black guys medical guys do you prefer like asian than as ? in of age heard ? or during black girls boys summer ?	0.10675210253269501	0.31784403866041594
what was the significance of the battle of somme , and how did this battle compare and contrast to the battle of port arthur ?	what was the significance of the battle of somme , and how did this battle compare and contrast to the battle of rostov ?	how was the battle of the battle of the significance of this somme ? and what is the significance the do the battle of of matapan , and the battle of somme , and ? ? ?	0.396114764807256	0.3165577058106832
how can improve my english speaking ?	how can i improve my english speaking . ?	how can want improve an day speaking think way for my ?	0.21320071633703627	0.316395869510881
how do i get glowing healthy skin ?	how do i get a glow skin ?	how do i get use ?	0.5066641484618783	0.3163878638590597
what are the differences between obama and trump ?	what is the difference between obama and trump ?	what is the difference any and donald trump ? between college 24 ? towards any become my difference between	0.34199278400988514	0.3154422296373848
what is your new year resolution for 2017 or goal for 2017 ?	what are some of the best new years resolutions for 2017 ?	what are some meaningful resolution ? resolutions for ? spending 1 ? my new 2017 year resolutions for 2017 or your meaningful to , ) year resolutions for	0.30429030971402354	0.31386619253442655
how can i improve my spoken english ability ?	how do i improve my overall native english language ?	how should speaking but english my english interview ? i improve my english ?	0.2567762954875012	0.3137424147581287
can i earn money on quora ?	how can you make money from quora ?	can i start money ? earn someone for with very active in i add business quora	0.15811388299820756	0.3131773356768473
how can we achieve our dream ?	how do i achieve my dreams ?	how do you interpret real effectively our dream do i get coworking dreams ? to get dreaming dreams i interpret our ignoring my ?	0.2407717061612882	0.31231595449732785
what is the ultimate happiness in life ?	what is the ultimate enjoyment in life ?	what is there ? the daily age of happiness ? and life that happiness and gravitational is ultimate of life ? what are there s	0.15275252315895732	0.3117729177142926
which is your favourite film in 2016 ?	which is the best movie of 2016 ?	what is your best 2016 ? one movies who s your favourite	0.3692744729058266	0.31104071015407236
how do you know if you 're really in love ?	how do know that you are in love ?	how do you if and you are love you person ?	0.46709936640986355	0.30987416400760465
what is your favourite movie and why ?	what are your favorite movies and why ?	what is your that ? all-time your favorite that why accomplishment is	0.3692744729058266	0.3091774772263559
what is the right age to start-up ?	what is the right age to start business ?	what is start-up ? soon age start-up ?	0.42257712725484126	0.3091713022798223
how can i make my study more effective ?	how do you study effectively ?	how can i make trump and study ?	0.5003287149469438	0.3090046331141728
how does the stock market work generally ?	how does stock market works ?	how do the various apple and going to work ? ? does russia expands for the stock market ? what stock market india ?	0.15925551431087165	0.3089570909365541
which is a good laptop under rs . 60,000 ?	which is the best laptop under 60,000 in india ?	which is best under under 60,000 ? give best to good laptop for about ₹ interesting the best under ?	0.3441236007881837	0.3076818570116447
how do i get started with freelancing as a web developer ?	how do i start freelancing as web developer ?	how do i get very web	0.4288819423302449	0.30645946355210196
which is the best gaming laptop under $ 500 ?	can someone get a good gaming laptop under $ 500 ?	which is the best laptop under the best laptop laptop	0.516397779388174	0.30641678597666694
why did the roman empire last so long ?	how long did the roman empire last ? why did it last so long ?	why did roman empire stand its causes ? by ?	0.36514837163156744	0.3062998703706947
how do i tell the difference between infatuation and love ?	what is the difference between being in love and lust ?	what is the difference between infatuation ?	0.5155147566059136	0.30553007552238376
how can i improve my memory problem ?	what should i do to improve my memory ?	how can do i improve memory ?	0.6129752411916727	0.3054600021271544
what are the safety precautions on handling shotguns proposed by the nra in new hampshire ?	what are the safety precautions on handling shotguns proposed by the nra in california ?	what are the safety nra in pennsylvania ? shotguns to on handling the nra in fact nra in maine ?	0.41675437671185933	0.30520951716942024
how could i increase my height ?	how do i increase my height after 16 ?	how do i increase ? ? get back or an ? ? my height my failure ? height my height they 's the on like ? 'm a taller faster ?	0.1735152064798519	0.3039843125213796
what is the difference between sore throat and strep throat ? what causes it suddenly ?	what is the difference between sore throat and strep throat ? what causes strep throat suddenly ?	what led the difference between cat throat between sore and difference difference between dark sore and what should ? cat rat ? strep and suddenly sore difference between sore throat	0.24447927302426964	0.3036068590891139
what evidence is there to support the existence of alien life ?	is there any proof or evidence of alien / extraterrestrial life existence ?	does there any of existence hair extraterrestrial faith at shared life evidence they ? eye extraterrestrial life ? ?	0.2649064713986791	0.30360648269677126
how do i become a penetration tester ?	what is the way to become a penetration tester ?	how do i how microcontroller network penetration form pro penetration penetration penetration penetration tester symbol first ?	0.2572478776981582	0.30328232509354
how do i find love in life ?	how do i find a love of life ?	how i do you prefer ? love life meaningful ? love 2017 in ?	6.201736729000405e-09	0.30303030303030304
how do you raise a child ?	what are some of the best ways to raise your child ?	how do been the husband how do you plan ? raise to	0.32566947358395304	0.3027621033301462
which is the best movie ever in hollywood ( new ) ?	what is your best hollywood movie and why ?	which is the best hollywood movie of	0.6351142313854244	0.30248210787693436
what should i do to earn money online ?	how can we earn money online in india ?	how can i earn money from need to your application about an possible online ?	0.33806170186806433	0.30068718959391766
